TIME(ns),FREQ(Hz)
166125000,        160
166375000,        160
166625000,        160
166875000,        160
167125000,        160
167375000,        160
167625000,        160
167875000,        160
168125000,        160
168375000,        160
168625000,        160
168875000,        160
169125000,        160
169375000,        160
169625000,        160
169875000,        160
170125000,        160
170375000,        160
170625000,        160
170875000,        160
171125000,        160
171375000,        160
171625000,        160
171875000,        160
172125000,        160
172375000,        160
172625000,        160
172875000,        160
173125000,        160
173375000,        160
173625000,        160
173875000,        160
174125000,        160
174375000,        160
174625000,        160
174875000,        160
175125000,        160
175375000,        160
175625000,        160
175875000,        160
176125000,        160
176375000,        160
176625000,        160
176875000,        160
177125000,        160
177375000,        160
177625000,        160
177875000,        160
178125000,        160
178375000,        160
178625000,        160
178875000,        160
179125000,        160
179375000,        160
179625000,        160
179875000,        160
180125000,        160
180375000,        160
180625000,        160
180875000,        160
181125000,        160
181375000,        160
181625000,        160
181875000,        160
182125000,        160
182375000,        160
182625000,        160
182875000,        160
183125000,        160
183375000,        160
183625000,        160
183875000,        160
184125000,        160
184375000,        160
184625000,        160
184875000,        160
185125000,        160
185375000,        160
185625000,        160
185875000,        160
186125000,        160
186375000,        160
186625000,        160
186875000,        160
187125000,        160
187375000,        160
187625000,        160
187875000,        160
188125000,        160
188375000,        160
188625000,        160
188875000,        160
189125000,        160
189375000,        160
189625000,        160
189875000,        160
190125000,        160
190375000,        160
190625000,        160
190875000,        160
191125000,        160
191375000,        160
191625000,        160
191875000,        160
192125000,        160
192375000,        160
192625000,        160
192875000,        160
193125000,        160
193375000,        160
193625000,        160
193875000,        160
194125000,        160
194375000,        160
194625000,        160
194875000,        160
195125000,        160
195375000,        160
195625000,        160
195875000,        160
196125000,        160
196375000,        160
196625000,        160
196875000,        160
197125000,        160
197375000,        160
197625000,        160
197875000,        160
198125000,        160
198375000,        160
198625000,        160
198875000,        160
199125000,        160
199375000,        160
199625000,        160
199875000,        160
200125000,        160
200375000,        160
200625000,        160
200875000,        160
201125000,        160
201375000,        160
201625000,        160
201875000,        160
202125000,        160
202375000,        160
202625000,        160
202875000,        160
203125000,        160
203375000,        160
203625000,        160
203875000,        160
204125000,        160
204375000,        160
204625000,        160
204875000,        160
205125000,        160
205375000,        160
205625000,        160
205875000,        160
206125000,        160
206375000,        160
206625000,        160
206875000,        160
207125000,        160
207375000,        160
207625000,        160
207875000,        160
208125000,        160
208375000,        160
208625000,        160
208875000,        160
209125000,        160
209375000,        160
209625000,        160
209875000,        160
210125000,        160
210375000,        160
210625000,        160
210875000,        160
211125000,        160
211375000,        160
211625000,        160
211875000,        160
212125000,        160
212375000,        160
212625000,        160
212875000,        160
213125000,        160
213375000,        160
213625000,        160
213875000,        160
214125000,        160
214375000,        160
214625000,        160
214875000,        160
215125000,        160
215375000,        160
215625000,        160
215875000,        160
216125000,        160
216375000,        160
216625000,        160
216875000,        160
217125000,        160
217375000,        160
217625000,        160
217875000,        160
218125000,        160
218375000,        160
218625000,        160
218875000,        160
219125000,        160
219375000,        160
219625000,        160
219875000,        160
220125000,        160
220375000,        160
220625000,        160
220875000,        160
221125000,        160
221375000,        160
221625000,        160
221875000,        160
222125000,        160
222375000,        160
222625000,        160
222875000,        160
223125000,        160
223375000,        160
223625000,        160
223875000,        160
224125000,        160
